,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
109,3,1.0,1.0,3,89.00,,55.00,28,95,10.0,10.0,10.0,10.0,10.0
110,4,1.0,1.0,1,99.00,100.00,30.00,111,92,9.0,10.0,10.0,10.0,9.0
111,4,1.0,1.0,3,110.00,95.00,35.00,49,97,10.0,10.0,10.0,10.0,10.0
112,6,1.0,2.0,3,180.00,250.00,80.00,28,96,10.0,10.0,10.0,10.0,10.0
113,1,1.0,1.0,1,75.00,100.00,25.00,9,89,9.0,9.0,9.0,9.0,9.0
114,4,1.0,2.0,2,85.00,100.00,,12,97,10.0,10.0,10.0,10.0,10.0
115,2,1.0,1.0,1,80.00,250.00,25.00,50,95,10.0,10.0,10.0,10.0,9.0
116,2,1.0,1.0,1,80.00,,,24,98,10.0,10.0,10.0,10.0,10.0
117,2,1.0,0.0,1,75.00,200.00,,81,95,10.0,10.0,10.0,9.0,10.0
118,2,1.0,1.0,1,70.00,100.00,,19,85,7.0,9.0,9.0,9.0,8.0
119,4,1.0,0.0,1,95.00,,40.00,115,99,10.0,10.0,10.0,10.0,10.0
120,2,1.0,1.0,1,90.00,,,72,99,10.0,10.0,10.0,10.0,10.0
121,12,2.0,4.0,5,435.00,500.00,200.00,12,84,9.0,10.0,10.0,9.0,8.0
122,2,1.0,1.0,1,65.00,,20.00,31,95,9.0,10.0,10.0,10.0,10.0
123,3,1.0,1.0,1,95.00,100.00,,125,97,10.0,10.0,10.0,10.0,10.0
124,3,1.0,1.0,2,110.00,,50.00,7,97,10.0,10.0,10.0,10.0,10.0
125,2,1.0,1.0,1,100.00,,30.00,62,97,10.0,10.0,10.0,10.0,9.0
126,5,1.0,1.0,3,116.00,,60.00,74,98,10.0,10.0,10.0,10.0,10.0
127,8,2.0,3.0,3,275.00,250.00,100.00,107,95,9.0,10.0,10.0,10.0,9.0
128,6,2.0,3.0,3,180.00,,,10,96,10.0,10.0,10.0,9.0,10.0
129,2,1.0,1.0,1,97.00,,,155,96,10.0,10.0,10.0,10.0,10.0
130,2,1.0,1.0,1,109.00,,,17,96,10.0,10.0,10.0,10.0,9.0
131,2,1.0,1.0,1,115.00,100.00,20.00,13,92,9.0,10.0,10.0,9.0,9.0
132,2,1.0,1.0,1,199.00,,80.00,13,97,10.0,10.0,10.0,10.0,10.0
133,6,2.5,3.0,4,250.00,500.00,100.00,98,98,10.0,10.0,10.0,10.0,10.0
134,4,1.0,1.0,1,69.00,150.00,55.00,28,90,9.0,9.0,10.0,9.0,9.0
135,4,1.0,1.0,2,145.00,350.00,60.00,17,91,9.0,10.0,10.0,9.0,9.0
136,5,1.0,1.0,4,98.00,300.00,10.00,139,97,10.0,10.0,9.0,10.0,10.0
137,4,1.0,1.0,2,85.00,,,15,96,9.0,10.0,10.0,9.0,10.0
138,1,1.0,1.0,1,85.00,,15.00,1,90,10.0,10.0,10.0,8.0,10.0
139,4,1.0,1.0,2,150.00,150.00,25.00,5,88,9.0,9.0,10.0,10.0,10.0
140,6,2.0,3.0,3,190.00,500.00,100.00,3,93,9.0,10.0,9.0,10.0,10.0
141,2,1.0,1.0,1,68.00,200.00,50.00,17,94,10.0,10.0,10.0,10.0,9.0
142,2,1.5,1.0,1,149.00,100.00,60.00,31,96,10.0,10.0,10.0,10.0,9.0
143,10,2.0,2.0,5,349.00,,100.00,34,92,9.0,10.0,10.0,10.0,9.0
144,2,1.0,1.0,1,150.00,200.00,40.00,15,98,9.0,10.0,10.0,9.0,9.0
145,4,1.0,2.0,3,165.00,,75.00,7,97,10.0,10.0,10.0,10.0,10.0
146,4,1.0,1.0,2,195.00,100.00,35.00,28,82,8.0,9.0,9.0,9.0,8.0
147,4,2.0,2.0,2,200.00,95.00,,7,89,9.0,9.0,9.0,9.0,9.0
148,2,1.5,1.0,1,90.00,125.00,30.00,36,97,10.0,10.0,10.0,9.0,10.0
149,2,1.0,1.0,1,125.00,,30.00,16,92,9.0,9.0,10.0,10.0,9.0
150,8,1.5,3.0,5,250.00,,264.00,4,90,10.0,10.0,10.0,10.0,9.0
151,2,1.5,1.0,1,130.00,100.00,50.00,23,98,10.0,10.0,10.0,10.0,10.0
152,4,1.0,1.0,2,110.00,150.00,50.00,61,97,10.0,10.0,10.0,10.0,10.0
153,4,1.0,1.0,2,90.00,350.00,60.00,50,96,10.0,10.0,10.0,9.0,10.0
154,2,1.0,1.0,1,90.00,,,55,97,9.0,10.0,10.0,10.0,10.0
155,4,1.5,2.0,2,165.00,200.00,55.00,26,98,10.0,10.0,10.0,10.0,10.0
156,6,2.0,3.0,4,285.00,300.00,150.00,53,96,10.0,10.0,10.0,9.0,10.0
157,2,1.0,1.0,1,68.00,100.00,100.00,4,95,9.0,10.0,10.0,10.0,9.0
158,4,1.0,1.0,2,125.00,300.00,55.00,32,97,10.0,10.0,10.0,9.0,10.0
159,2,1.0,1.0,1,110.00,800.00,100.00,53,93,9.0,10.0,10.0,10.0,9.0
160,2,1.0,1.0,1,95.00,,25.00,1,80,10.0,10.0,10.0,8.0,6.0
161,4,1.0,1.0,2,103.00,350.00,60.00,49,95,10.0,10.0,10.0,9.0,9.0
162,2,1.0,1.0,1,120.00,350.00,60.00,59,98,10.0,10.0,10.0,9.0,10.0
163,2,1.0,1.0,1,99.00,,20.00,18,97,10.0,10.0,10.0,10.0,10.0
164,2,1.0,1.0,1,142.00,,40.00,63,99,10.0,10.0,10.0,10.0,10.0
165,2,1.0,1.0,2,150.00,,25.00,16,93,10.0,9.0,10.0,9.0,9.0
166,6,2.0,3.0,3,295.00,1000.00,110.00,4,95,10.0,10.0,10.0,10.0,9.0
167,8,3.0,4.0,5,499.00,499.00,200.00,14,99,10.0,10.0,10.0,10.0,10.0
168,8,2.0,3.0,4,350.00,300.00,155.00,9,96,10.0,10.0,10.0,10.0,10.0
169,3,1.0,1.0,2,156.00,300.00,25.00,11,98,10.0,10.0,10.0,10.0,10.0
170,4,1.0,2.0,3,200.00,100.00,111.00,11,91,9.0,10.0,10.0,10.0,9.0
171,2,1.0,1.0,1,99.00,100.00,,115,94,9.0,10.0,10.0,10.0,9.0
172,3,1.0,1.0,1,94.00,100.00,40.00,6,87,9.0,9.0,10.0,8.0,9.0
173,4,1.0,1.0,1,160.00,100.00,72.00,10,92,10.0,10.0,10.0,10.0,9.0
174,4,1.0,1.0,2,129.00,300.00,60.00,21,96,10.0,10.0,10.0,9.0,10.0
175,4,1.0,1.0,2,219.00,,90.00,5,96,10.0,10.0,10.0,10.0,10.0
176,4,1.0,1.0,1,91.00,150.00,60.00,5,92,9.0,10.0,10.0,9.0,9.0
