accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
4,1.0,2.0,2,225.00,,45.00,4,95,10.0,9.0,10.0,10.0,10.0
2,1.5,1.0,1,35.00,100.00,7.00,7,97,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,55.00,,15.00,23,97,10.0,10.0,10.0,9.0,10.0
2,1.5,1.0,1,45.00,100.00,8.00,2,90,8.0,10.0,10.0,10.0,9.0
8,1.0,2.0,6,133.00,350.00,50.00,39,95,10.0,9.0,10.0,10.0,9.0
2,1.0,1.0,1,65.00,,5.00,64,96,10.0,10.0,10.0,10.0,10.0
1,2.0,1.0,1,61.00,,15.00,4,80,8.0,9.0,9.0,9.0,9.0
2,1.0,1.0,1,70.00,250.00,50.00,8,90,9.0,10.0,10.0,10.0,10.0
1,1.0,1.0,1,52.00,,20.00,14,97,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,149.00,100.00,50.00,85,99,10.0,10.0,10.0,9.0,10.0
2,1.0,1.0,1,89.00,,,125,97,10.0,10.0,10.0,10.0,10.0
10,2.0,3.0,3,225.00,300.00,100.00,121,91,9.0,10.0,10.0,9.0,9.0
3,1.0,1.0,2,120.00,200.00,55.00,131,97,10.0,10.0,10.0,9.0,10.0
2,1.0,0.0,1,85.00,,30.00,49,98,10.0,10.0,10.0,10.0,10.0
3,1.0,1.0,3,89.00,,55.00,28,95,10.0,10.0,10.0,10.0,10.0
4,1.0,1.0,1,99.00,100.00,30.00,111,92,9.0,10.0,10.0,10.0,9.0
4,1.0,1.0,3,110.00,95.00,35.00,49,97,10.0,10.0,10.0,10.0,10.0
6,1.0,2.0,3,180.00,250.00,80.00,28,96,10.0,10.0,10.0,10.0,10.0
1,1.0,1.0,1,75.00,100.00,25.00,9,89,9.0,9.0,9.0,9.0,9.0
4,1.0,2.0,2,85.00,100.00,,12,97,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,80.00,250.00,25.00,50,95,10.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,80.00,,,24,98,10.0,10.0,10.0,10.0,10.0
2,1.0,0.0,1,75.00,200.00,,81,95,10.0,10.0,10.0,9.0,10.0
2,1.0,1.0,1,70.00,100.00,,19,85,7.0,9.0,9.0,9.0,8.0
4,1.0,0.0,1,95.00,,40.00,115,99,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,90.00,,,72,99,10.0,10.0,10.0,10.0,10.0
12,2.0,4.0,5,435.00,500.00,200.00,12,84,9.0,10.0,10.0,9.0,8.0
2,1.0,1.0,1,65.00,,20.00,31,95,9.0,10.0,10.0,10.0,10.0
3,1.0,1.0,1,95.00,100.00,,125,97,10.0,10.0,10.0,10.0,10.0
3,1.0,1.0,2,110.00,,50.00,7,97,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,100.00,,30.00,62,97,10.0,10.0,10.0,10.0,9.0
5,1.0,1.0,3,116.00,,60.00,74,98,10.0,10.0,10.0,10.0,10.0
8,2.0,3.0,3,275.00,250.00,100.00,107,95,9.0,10.0,10.0,10.0,9.0
6,2.0,3.0,3,180.00,,,10,96,10.0,10.0,10.0,9.0,10.0
2,1.0,1.0,1,97.00,,,155,96,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,109.00,,,17,96,10.0,10.0,10.0,10.0,9.0
