id,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
5362889,4,2.0,2.0,2.0,175.00,,35.00,54,96.0,9.0,10.0,10.0,10.0,10.0
7203408,4,1.0,1.0,1.0,120.00,100.00,,15,96.0,10.0,10.0,10.0,10.0,10.0
7885859,4,2.0,2.0,2.0,275.00,100.00,,0,,,,,,
10141859,1,1.0,1.0,1.0,65.00,,,0,,,,,,
7762347,2,1.0,0.0,1.0,100.00,,,0,,,,,,
544433,2,1.0,1.0,1.0,95.00,300.00,45.00,219,97.0,10.0,10.0,10.0,10.0,10.0
9410128,2,1.0,0.0,1.0,100.00,,,0,,,,,,
6276224,2,1.0,1.0,1.0,135.00,250.00,60.00,3,100.0,10.0,10.0,10.0,10.0,10.0
5252515,5,2.0,2.0,2.0,200.00,,30.00,7,94.0,7.0,10.0,10.0,10.0,10.0
1622794,2,1.0,1.0,2.0,145.00,,25.00,100,98.0,10.0,10.0,10.0,10.0,9.0
9171373,4,1.0,1.0,2.0,145.00,,,0,,,,,,
8423118,2,1.0,1.0,1.0,96.00,200.00,17.00,4,100.0,10.0,10.0,10.0,10.0,10.0
6248083,5,2.5,2.0,2.0,498.00,750.00,200.00,12,98.0,10.0,10.0,10.0,10.0,10.0
7932696,3,1.0,1.0,1.0,110.00,,,17,94.0,9.0,10.0,10.0,10.0,9.0
3215404,2,1.0,1.0,1.0,119.00,,20.00,23,91.0,9.0,10.0,10.0,9.0,9.0
9522082,4,1.0,1.0,2.0,119.00,500.00,95.00,1,100.0,10.0,10.0,10.0,10.0,10.0
3040278,4,1.0,2.0,2.0,217.00,,35.00,156,97.0,9.0,10.0,10.0,10.0,10.0
9939740,4,1.0,0.0,2.0,99.00,150.00,50.00,0,,,,,,
1071843,4,1.0,1.0,2.0,95.00,300.00,45.00,135,96.0,10.0,10.0,10.0,10.0,10.0
4973204,5,1.0,2.0,2.0,165.00,200.00,75.00,27,99.0,10.0,10.0,10.0,10.0,10.0
6584984,2,1.0,0.0,1.0,85.00,500.00,95.00,0,,,,,,
9118240,2,1.0,1.0,1.0,200.00,,,1,100.0,10.0,10.0,10.0,10.0,10.0
6971260,2,1.0,0.0,1.0,120.00,100.00,140.00,13,88.0,9.0,9.0,9.0,9.0,9.0
3738724,2,1.0,1.0,1.0,240.00,500.00,75.00,0,,,,,,
945833,5,2.0,3.0,3.0,275.00,,,3,100.0,9.0,10.0,10.0,10.0,10.0
5261239,2,1.0,0.0,1.0,103.00,,,52,81.0,7.0,10.0,9.0,10.0,8.0
4596493,4,2.0,2.0,2.0,165.00,,25.00,0,,,,,,
4310055,2,1.0,1.0,1.0,120.00,150.00,50.00,0,,,,,,
3720429,2,1.0,1.0,1.0,200.00,150.00,15.00,7,91.0,10.0,10.0,10.0,10.0,9.0
6956301,2,1.0,1.0,1.0,120.00,,,5,100.0,10.0,10.0,10.0,10.0,9.0
6750430,3,1.0,1.0,2.0,200.00,1000.00,50.00,14,96.0,10.0,10.0,10.0,10.0,10.0
8373664,4,1.0,1.0,1.0,115.00,150.00,60.00,4,100.0,10.0,10.0,10.0,10.0,10.0
6783394,3,1.5,1.0,1.0,125.00,400.00,50.00,51,91.0,10.0,9.0,10.0,9.0,9.0
9332620,2,1.0,1.0,1.0,75.00,,50.00,0,,,,,,
6727846,2,1.0,0.0,1.0,115.00,250.00,30.00,7,100.0,10.0,10.0,10.0,10.0,9.0
1321090,4,1.0,1.0,2.0,95.00,200.00,45.00,180,96.0,10.0,10.0,10.0,10.0,10.0
10170744,6,1.0,2.0,5.0,259.00,,120.00,0,,,,,,
8503720,2,1.0,1.0,1.0,80.00,95.00,,15,90.0,9.0,9.0,10.0,10.0,10.0
6780670,2,1.0,1.0,1.0,130.00,,50.00,6,93.0,9.0,10.0,10.0,9.0,9.0
9370738,2,1.0,1.0,1.0,89.00,150.00,60.00,0,,,,,,
1060467,2,1.0,1.0,1.0,130.00,300.00,15.00,62,91.0,10.0,9.0,9.0,9.0,9.0
9516743,4,1.5,2.0,2.0,150.00,,100.00,0,,,,,,
6240501,2,1.0,1.0,1.0,72.00,,,40,89.0,9.0,10.0,10.0,9.0,9.0
8150145,6,3.0,3.0,3.0,275.00,300.00,120.00,7,97.0,10.0,10.0,10.0,9.0,10.0
8967776,2,1.0,1.0,1.0,80.00,,,9,93.0,10.0,10.0,10.0,10.0,10.0
10000273,5,2.0,1.0,2.0,175.00,200.00,50.00,0,,,,,,
9679301,2,1.0,1.0,1.0,75.00,,20.00,2,100.0,10.0,10.0,10.0,10.0,10.0
8690491,2,1.0,0.0,1.0,95.00,,15.00,10,98.0,10.0,10.0,10.0,10.0,10.0
7678064,6,3.5,3.0,5.0,310.00,400.00,210.00,3,100.0,10.0,10.0,10.0,10.0,10.0
7798575,1,1.0,1.0,1.0,38.00,,,4,100.0,10.0,10.0,10.0,10.0,10.0
4988679,4,1.0,2.0,2.0,189.00,,25.00,13,91.0,9.0,10.0,10.0,9.0,9.0
6093756,2,1.0,1.0,1.0,205.00,150.00,,1,100.0,10.0,10.0,10.0,10.0,10.0
7921289,2,1.0,1.0,1.0,199.00,,39.00,1,100.0,10.0,10.0,10.0,10.0,10.0
10108451,2,1.0,1.0,1.0,150.00,,,0,,,,,,
8117705,2,1.0,1.0,1.0,67.00,,30.00,2,100.0,10.0,10.0,10.0,10.0,10.0
4324917,2,1.0,1.0,1.0,72.00,,25.00,30,97.0,10.0,10.0,10.0,10.0,10.0
5061566,2,1.0,0.0,1.0,175.00,,,8,93.0,9.0,10.0,10.0,10.0,10.0
8575663,2,1.0,1.0,1.0,119.00,200.00,45.00,0,,,,,,
8518308,3,1.0,1.0,1.0,97.00,,20.00,13,100.0,10.0,10.0,10.0,10.0,10.0
3562617,2,1.0,2.0,2.0,200.00,100.00,10.00,27,85.0,8.0,9.0,9.0,9.0,8.0
7109735,4,2.0,2.0,2.0,190.00,250.00,50.00,5,100.0,10.0,10.0,10.0,10.0,10.0
8501721,1,1.0,1.0,1.0,100.00,,,1,100.0,10.0,10.0,10.0,10.0,10.0
5306727,2,1.0,1.0,1.0,99.00,,,6,93.0,10.0,10.0,10.0,10.0,9.0
909102,2,1.0,1.0,1.0,99.00,,35.00,90,97.0,10.0,10.0,10.0,10.0,10.0
8608525,2,1.0,1.0,1.0,119.00,150.00,45.00,1,100.0,10.0,10.0,10.0,10.0,10.0
170273,2,1.0,1.0,1.0,225.00,100.00,25.00,120,99.0,10.0,10.0,10.0,10.0,10.0
7075913,2,1.0,1.0,1.0,100.00,,,21,98.0,10.0,10.0,10.0,10.0,10.0
481220,4,1.0,1.0,3.0,195.00,,25.00,164,98.0,10.0,10.0,10.0,10.0,10.0
6961346,2,1.0,0.0,1.0,85.00,,5.00,22,90.0,9.0,10.0,10.0,10.0,10.0
9975073,2,1.0,1.0,1.0,105.00,300.00,10.00,0,,,,,,
6517594,2,1.5,1.0,1.0,190.00,,,1,100.0,10.0,10.0,10.0,10.0,10.0
10170577,4,1.0,1.0,3.0,149.00,,120.00,0,,,,,,
7680670,2,1.0,0.0,1.0,119.00,,,10,96.0,9.0,10.0,10.0,10.0,9.0
5946675,2,1.0,1.0,1.0,145.00,250.00,75.00,5,100.0,10.0,10.0,10.0,10.0,10.0
7162664,2,1.0,1.0,1.0,220.00,500.00,75.00,10,100.0,10.0,10.0,10.0,10.0,10.0
6901218,3,1.0,1.0,1.0,99.00,,30.00,8,100.0,10.0,10.0,10.0,10.0,10.0
4951430,4,1.0,1.0,2.0,125.00,,,13,94.0,9.0,10.0,10.0,10.0,10.0
7202016,2,1.0,1.0,1.0,75.00,,15.00,16,95.0,10.0,10.0,10.0,10.0,10.0
5538663,2,1.0,1.0,1.0,145.00,,,9,93.0,8.0,9.0,10.0,10.0,10.0
363064,3,1.0,0.0,2.0,90.00,500.00,50.00,37,97.0,10.0,10.0,10.0,10.0,10.0
7809595,2,1.0,1.0,1.0,76.00,,6.00,28,98.0,10.0,10.0,10.0,10.0,9.0
9094836,2,1.0,1.0,1.0,150.00,200.00,40.00,1,100.0,10.0,10.0,10.0,10.0,10.0
3039438,2,1.0,1.0,1.0,93.00,,15.00,15,95.0,10.0,10.0,10.0,10.0,10.0
8847979,2,1.0,0.0,1.0,89.00,99.00,,14,97.0,10.0,10.0,10.0,10.0,10.0
4047399,2,1.0,1.0,1.0,160.00,250.00,50.00,5,100.0,10.0,10.0,10.0,10.0,10.0
66611,1,1.0,1.0,1.0,65.00,,35.00,20,88.0,8.0,10.0,9.0,9.0,9.0
7279669,1,1.0,1.0,1.0,65.00,500.00,50.00,0,,,,,,
9716348,1,1.0,1.0,1.0,75.00,,,0,,,,,,
9887142,4,1.0,1.0,2.0,80.00,150.00,,0,,,,,,
7007118,4,1.0,1.0,2.0,100.00,,,10,92.0,10.0,10.0,10.0,9.0,10.0
5325809,5,1.5,2.0,3.0,98.00,,50.00,24,95.0,9.0,10.0,10.0,9.0,9.0
6342327,8,3.0,4.0,5.0,299.00,1000.00,178.00,0,,,,,,
555182,6,1.0,3.0,4.0,250.00,,,13,88.0,10.0,9.0,10.0,9.0,9.0
6729818,2,1.0,1.0,1.0,175.00,,,0,,,,,,
66540,1,1.0,1.0,1.0,65.00,,25.00,14,95.0,9.0,10.0,10.0,9.0,10.0
8098383,4,1.0,1.0,2.0,75.00,,,23,97.0,10.0,10.0,10.0,10.0,10.0
5930473,2,1.0,0.0,1.0,100.00,650.00,150.00,3,100.0,10.0,10.0,10.0,10.0,9.0
47491,1,1.0,1.0,1.0,60.00,95.00,35.00,37,94.0,9.0,10.0,10.0,9.0,9.0
447523,2,1.0,1.0,1.0,48.00,,,93,93.0,9.0,10.0,9.0,9.0,9.0
3961077,2,1.0,1.0,1.0,48.00,,,18,93.0,10.0,10.0,10.0,9.0,9.0
52525,1,1.0,1.0,1.0,60.00,95.00,,26,92.0,9.0,10.0,10.0,10.0,10.0
6811792,5,2.0,2.0,2.0,125.00,250.00,75.00,4,100.0,10.0,10.0,10.0,9.0,10.0
7619727,6,1.0,3.0,3.0,200.00,100.00,,1,100.0,10.0,10.0,10.0,10.0,10.0
270370,6,2.0,3.0,3.0,210.00,300.00,80.00,0,,,,,,
7221204,2,1.0,1.0,1.0,85.00,,,11,95.0,10.0,10.0,10.0,9.0,10.0
6495424,2,1.5,1.0,1.0,75.00,,,1,100.0,10.0,10.0,10.0,10.0,10.0
2737038,2,1.0,0.0,1.0,75.00,150.00,35.00,29,96.0,10.0,10.0,10.0,10.0,10.0
9034515,2,1.0,0.0,1.0,80.00,400.00,50.00,2,100.0,9.0,9.0,9.0,9.0,9.0
8147215,5,1.0,2.0,2.0,180.00,250.00,89.00,4,90.0,8.0,10.0,10.0,10.0,10.0
6376952,6,1.5,3.0,3.0,240.00,500.00,175.00,8,100.0,9.0,10.0,10.0,10.0,10.0
10319529,2,1.0,1.0,1.0,49.00,200.00,25.00,0,,,,,,
3613516,4,1.0,2.0,2.0,275.00,150.00,100.00,2,90.0,8.0,10.0,8.0,9.0,7.0
8780704,2,1.0,1.0,1.0,95.00,,,0,,,,,,
9714078,4,1.0,2.0,3.0,108.00,200.00,25.00,2,100.0,10.0,10.0,10.0,10.0,10.0
1593991,2,0.5,1.0,1.0,150.00,,,46,98.0,10.0,10.0,10.0,10.0,9.0
6239108,3,1.0,1.0,2.0,75.00,200.00,35.00,22,97.0,10.0,10.0,9.0,10.0,9.0
2303981,8,1.0,3.0,3.0,99.00,,,4,100.0,10.0,10.0,10.0,9.0,10.0
5104077,5,1.0,3.0,3.0,110.00,450.00,160.00,3,87.0,9.0,9.0,9.0,7.0,9.0
7434103,2,1.0,1.0,1.0,92.00,,,5,100.0,10.0,10.0,10.0,9.0,9.0
8233110,4,1.0,2.0,2.0,171.00,,155.00,0,,,,,,
6438099,2,1.0,1.0,1.0,55.00,,25.00,0,,,,,,
7650458,2,1.0,1.0,2.0,70.00,300.00,82.00,1,100.0,10.0,10.0,10.0,10.0,10.0
7219541,1,1.0,1.0,1.0,80.00,,,1,80.0,8.0,8.0,8.0,8.0,8.0
4092037,6,2.5,3.0,3.0,250.00,,50.00,1,100.0,8.0,10.0,10.0,10.0,10.0
475361,2,1.0,1.0,1.0,89.00,,35.00,80,95.0,10.0,10.0,10.0,9.0,10.0
6327662,2,1.0,1.0,1.0,90.00,300.00,60.00,2,100.0,10.0,10.0,10.0,10.0,10.0
9679741,2,1.0,1.0,1.0,50.00,,,2,100.0,10.0,10.0,9.0,10.0,10.0
